Longitud,Latitud,Weight,Number,Poblacion
-10658659,3155781,100000000,1,1534961
-10829996,2465441,100000000,2,3147086
-11637222,3239588,100000000,3,3317761
-11052263,2866451,100000000,4,2187504
-10603824,2825825,100000000,5,1656148
-10143420,2250367,100000000,6,2883204
-10353007,2544012,100000000,7,2497699
-10007383,2597830,100000000,8,8019296
-9850673,2138068,100000000,9,4211577
-10502950,2066000,100000000,10,1400574
-10331776,2121784,100000000,11,4586117
-10171193,2046888,100000000,12,6276574
-10003546,1931225,100000000,13,23305760
-10391162,1981134,100000000,14,2160050
-10168357,1919185,100000000,15,2829073
-9845846,1805401,100000000,16,11643207
-9283224,1805401,100000000,17,2710882
-9681392,1951963,100000000,18,6382701
-9985598,1755447,100000000,19,2464990
-8974918,2081070,100000000,20,2071850
-9495439,1788856,100000000,21,2379518
-9295847,1634212,100000000,22,3767496
-8830867,1851244,100000000,23,428169
-8711471,2091237,100000000,24,1246196
-9665760,1683995,100000000,25,2595348
