ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,LONGITUD,LATITUD,P_TOTAL
7,Chiapas,87,Suchiate,16,Miguel Alemán,-9212570,1433330,949
7,Chiapas,87,Suchiate,170,El Gancho,-9215190,1433470,752
7,Chiapas,87,Suchiate,171,Tierra y Libertad,-9215140,1433540,581
7,Chiapas,87,Suchiate,14,La Libertad,-9211360,1435300,4500
7,Chiapas,87,Suchiate,159,Cuauhtémoc,-9213350,1435530,883
7,Chiapas,87,Suchiate,11,Ignacio López Rayón,-9211110,1437230,1573
7,Chiapas,89,Tapachula,308,La Cigüeña,-9219040,1437240,367
7,Chiapas,87,Suchiate,4,Brisas del Mar,-9218520,1437390,354
7,Chiapas,87,Suchiate,3,Benito Juárez (Cosalapa),-9215580,1438160,754
7,Chiapas,87,Suchiate,183,Jesús,-9210290,1438270,797
7,Chiapas,87,Suchiate,2,Barra de Cahoacán (El Chical),-9218070,1438270,795
7,Chiapas,87,Suchiate,23,General Manuel Ávila Camacho,-9214080,1438340,510
7,Chiapas,87,Suchiate,223,15 de Septiembre,-9215300,1439500,301
7,Chiapas,89,Tapachula,589,Conquista Campesina,-9219470,1440190,421
7,Chiapas,87,Suchiate,284,Pino Suárez,-9210040,1440230,318
7,Chiapas,87,Suchiate,8,Dorado Nuevo,-9212380,1440270,802
7,Chiapas,87,Suchiate,140,Quince de Abril,-9216090,1440330,490
7,Chiapas,87,Suchiate,5,El Campito,-9210300,1440340,645
7,Chiapas,87,Suchiate,1,Ciudad Hidalgo,-9208590,1440450,14606
7,Chiapas,89,Tapachula,871,Playa Linda,-9223080,1440490,457
7,Chiapas,87,Suchiate,184,Suchiate,-9209410,1441170,658
7,Chiapas,87,Suchiate,123,Ejido Suchiate (Fracción la Pita),-9210150,1442020,374
7,Chiapas,89,Tapachula,51,Cantón Bodegas,-9218170,1442440,467
7,Chiapas,87,Suchiate,22,20 de Noviembre,-9215380,1442490,437
7,Chiapas,89,Tapachula,197,Tinajas 1ra. Sección,-9219430,1443030,1055
7,Chiapas,89,Tapachula,148,Puerto Madero (San Benito),-9225320,1443090,9557
7,Chiapas,35,Frontera Hidalgo,44,Gustavo Díaz Ordaz,-9214190,1443140,356
7,Chiapas,35,Frontera Hidalgo,29,Ejido Francisco I. Madero,-9212050,1443320,568
7,Chiapas,35,Frontera Hidalgo,93,Las Viudas,-9212480,1443340,390
7,Chiapas,89,Tapachula,513,El Encanto,-9224370,1443510,1726
7,Chiapas,89,Tapachula,102,Joaquín Miguel Gutiérrez (El Manzano),-9218430,1443580,640
7,Chiapas,35,Frontera Hidalgo,99,Ignacio Zaragoza,-9210090,1444190,2464
7,Chiapas,35,Frontera Hidalgo,82,Santa Lucía Uno,-9213540,1444190,404
7,Chiapas,35,Frontera Hidalgo,57,Poblado Francisco I. Madero,-9211570,1444570,742
7,Chiapas,35,Frontera Hidalgo,30,Frontera Hidalgo,-9210590,1445250,927
7,Chiapas,35,Frontera Hidalgo,76,Santa Cruz,-9212080,1446000,547
7,Chiapas,89,Tapachula,198,Tinajas 3ra. Sección,-9221270,1446040,640
7,Chiapas,89,Tapachula,106,Leoncillo,-9224240,1446260,899
7,Chiapas,35,Frontera Hidalgo,1,Frontera Hidalgo,-9210360,1446370,3519
7,Chiapas,35,Frontera Hidalgo,8,El Carmen,-9213030,1447030,357
7,Chiapas,89,Tapachula,151,Congregación Reforma,-9218450,1447050,1132
7,Chiapas,35,Frontera Hidalgo,89,Texcaltic,-9211190,1447230,1743
